entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.668899651,NA,NA,0.10745684,0.184567676,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.640745416,NA,NA,0.112228155,0.183907899,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.200851444,NA,NA,0.623294761,1,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.196883408,NA,NA,0.616432113,0.794295721,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.980082074,NA,NA,0.168868985,0.236065456,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.164797198,NA,NA,0.003704641,0.006807349,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,1.086507202,NA,NA,0.14110944,0.58119168,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.417779743,NA,NA,0.055740597,0.087512445,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,3.289955459,NA,NA,3.22e-05,8.67e-05,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,3.526670975,NA,NA,7.85e-06,2.05e-05,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,1.040744089,NA,NA,0.189529284,1,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,1.48613519,NA,NA,0.061112589,0.121943995,NA,NA,NA
101927258,LINC01474,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.270090298207206,NA,NA,0.519547996465344,0.99776532938064,6.53926396211208,0.419367319393716,0.644042312590497
101927258,LINC01474,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.35252908620846,NA,NA,1.87270286255933e-10,8.45011832352417e-10,114.464266747803,0.369230774682295,-6.37143284774323
101927258,LINC01474,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.294403455763294,NA,NA,0.335792193932401,0.528096439837191,114.464266747803,0.305869726867138,-0.962512566309562
101927258,LINC01474,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,1.56015689438055,NA,NA,7.42173462380189e-12,1.3505996477427e-10,102.839632222451,0.227783736236179,6.84929012123541
101927258,LINC01474,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,3.11094613275507,NA,NA,0.184319247379615,0.45042657410581,0.741892612213886,2.34333359017264,1.32757288411757
