entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.209789214,NA,NA,0.150215897,0.243103632,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.178247437,NA,NA,0.255481174,0.363935925,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.173627399,NA,NA,0.215790654,0.909559677,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.268111356,NA,NA,0.074813995,0.18689329,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.402908771,NA,NA,0.107055208,0.159426128,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.204167949,NA,NA,0.278254605,0.341041393,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.146260896,NA,NA,0.371649005,0.843320264,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.518394235,NA,NA,0.005664146,0.010968066,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.308850882,NA,NA,0.116770113,0.166581669,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.211973876,NA,NA,0.285700127,0.354245209,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.005362569,NA,NA,0.977781483,1,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.351563554,NA,NA,0.06902397,0.135098647,NA,NA,NA
220972,MARCHF8,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.128134779139906,NA,NA,0.42801603625091,0.99776532938064,148.024438200822,0.161665659177529,0.792591202063503
220972,MARCHF8,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.22454157122287,NA,NA,1.40135856534738e-09,5.93215301953604e-09,104.887667540362,0.367369574110632,-6.05532338002753
220972,MARCHF8,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.992471094105088,NA,NA,0.00190413979469095,0.0070453521979441,104.887667540362,0.319658013245437,-3.10479028518224
220972,MARCHF8,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.397739849500982,NA,NA,0.0259997945130704,0.104062833697172,138.058993319286,0.178661934424088,-2.22621483856137
220972,MARCHF8,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.0755788043965248,NA,NA,0.855214959224686,0.986307224021891,59.4068434404686,0.414201599151635,-0.182468644619733
