entrezID,gene_symbol,biotype,bioproject,res_design,host_type,stimulator,concentration,H.P.S,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type
23523,CABIN1,protein_coding,PRJNA474093,IFN-beta stimulation vs. mock stimulation,immortalized human hepatocytes PH5CH8,IFN-beta,N.A.,12,720.465946383932,0.35322775672404,0.111929062386999,3.1558180618251,0.00160048660175508,0.0183983052003056,NA
23523,CABIN1,other,PRJNA474093,IFN-beta stimulation vs. mock stimulation,immortalized human hepatocytes PH5CH8,IFN-beta,N.A.,12,720.465946383932,0.35322775672404,0.111929062386999,3.1558180618251,0.00160048660175508,0.0183983052003056,NA
23523,CABIN1,protein_coding,PRJNA565586,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,100U/ml,24,1821.38862551209,0.384519940803202,0.046634988687735,8.24531004773955,1.64732519406891e-16,4.95877133417694e-15,patient-derived GBM cell lines (PDGCLs)
23523,CABIN1,other,PRJNA565586,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,100U/ml,24,1821.38862551209,0.384519940803202,0.046634988687735,8.24531004773955,1.64732519406891e-16,4.95877133417694e-15,patient-derived GBM cell lines (PDGCLs)
23523,CABIN1,protein_coding,PRJNA667475,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,250U/ml,8,1814.83456623278,0.0655148250347573,0.063558861117619,1.03077405546205,0.302646787483019,0.707676592741998,A549
23523,CABIN1,other,PRJNA667475,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,250U/ml,8,1814.83456623278,0.0655148250347573,0.063558861117619,1.03077405546205,0.302646787483019,0.707676592741998,A549
23523,CABIN1,protein_coding,PRJNA739760,INF-alpha2 stimulation (with DMSO) vs. mock stimulation (with DMSO),NA,IFN-alpha,1000U/ml,16,1322.1990237291,0.0992615921619762,0.0964055911240821,1.02962484856525,0.303186146011788,0.986418245486816,A549
23523,CABIN1,other,PRJNA739760,INF-alpha2 stimulation (with DMSO) vs. mock stimulation (with DMSO),NA,IFN-alpha,1000U/ml,16,1322.1990237291,0.0992615921619762,0.0964055911240821,1.02962484856525,0.303186146011788,0.986418245486816,A549
23523,CABIN1,protein_coding,PRJNA768480,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,N.A.,N.A.,959.920865316457,-1.04643466648761,0.127067309512948,-8.23527837725228,1.79140587540547e-16,2.4776258489904e-15,A549
23523,CABIN1,other,PRJNA768480,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,N.A.,N.A.,959.920865316457,-1.04643466648761,0.127067309512948,-8.23527837725228,1.79140587540547e-16,2.4776258489904e-15,A549
23523,CABIN1,protein_coding,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,4030.27709415693,0.0419383533995806,0.123177402275328,0.340471162931651,0.733501735653785,1,sigmoid colon organoid
23523,CABIN1,other,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,4030.27709415693,0.0419383533995806,0.123177402275328,0.340471162931651,0.733501735653785,1,sigmoid colon organoid
23523,CABIN1,protein_coding,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,4030.27709415693,0.0831807276909256,0.123135781570909,0.675520361585762,0.499345219412984,1,sigmoid colon organoid
23523,CABIN1,other,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,4030.27709415693,0.0831807276909256,0.123135781570909,0.675520361585762,0.499345219412984,1,sigmoid colon organoid
