entrezID,gene_symbol,biotype,bioproject,res_design,host_type,stimulator,concentration,H.P.S,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type
100133669,LY6E-DT,lncRNA,PRJNA474093,IFN-beta stimulation vs. mock stimulation,immortalized human hepatocytes PH5CH8,IFN-beta,N.A.,12,23.0397204074437,0.94261329923227,0.422693244314786,2.23001742258812,0.0257462862516582,0.155611164874586,NA
100133669,LY6E-DT,lncRNA,PRJNA474093,IFN-beta stimulation vs. mock stimulation,immortalized human hepatocytes PH5CH8,IFN-beta,N.A.,12,23.0397204074437,0.94261329923227,0.422693244314786,2.23001742258812,0.0257462862516582,0.155611164874586,NA
100133669,LY6E-DT,lncRNA,PRJNA565586,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,100U/ml,24,5.29041426196481,0.492028025719784,0.824861622609745,0.596497657586587,0.550842818239552,0.96308222060722,patient-derived GBM cell lines (PDGCLs)
100133669,LY6E-DT,lncRNA,PRJNA565586,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,100U/ml,24,5.29041426196481,0.492028025719784,0.824861622609745,0.596497657586587,0.550842818239552,0.96308222060722,patient-derived GBM cell lines (PDGCLs)
100133669,LY6E-DT,lncRNA,PRJNA667475,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,250U/ml,8,26.4157863440529,0.89128327956123,0.406328942544148,2.19350183125188,0.0282712427947072,0.12575310467627,A549
100133669,LY6E-DT,lncRNA,PRJNA667475,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,250U/ml,8,26.4157863440529,0.89128327956123,0.406328942544148,2.19350183125188,0.0282712427947072,0.12575310467627,A549
100133669,LY6E-DT,lncRNA,PRJNA739760,INF-alpha2 stimulation (with DMSO) vs. mock stimulation (with DMSO),NA,IFN-alpha,1000U/ml,16,4.30751691505735,0.852579710958887,0.95969903281306,0.88838238010912,0.374335100011768,0.986418245486816,A549
100133669,LY6E-DT,lncRNA,PRJNA739760,INF-alpha2 stimulation (with DMSO) vs. mock stimulation (with DMSO),NA,IFN-alpha,1000U/ml,16,4.30751691505735,0.852579710958887,0.95969903281306,0.88838238010912,0.374335100011768,0.986418245486816,A549
100133669,LY6E-DT,lncRNA,PRJNA768480,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,N.A.,N.A.,4.7687536717244,-1.44516538583284,1.50138632191483,-0.962553984100317,0.335771399526337,0.643616223266185,A549
100133669,LY6E-DT,lncRNA,PRJNA768480,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,N.A.,N.A.,4.7687536717244,-1.44516538583284,1.50138632191483,-0.962553984100317,0.335771399526337,0.643616223266185,A549
100133669,LY6E-DT,lncRNA,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,0.226159639246262,1.9260254166276,4.03859237773344,0.476905128441938,0.633429679924771,1,sigmoid colon organoid
100133669,LY6E-DT,lncRNA,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,0.226159639246262,1.9260254166276,4.03859237773344,0.476905128441938,0.633429679924771,1,sigmoid colon organoid
100133669,LY6E-DT,lncRNA,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,0.226159639246262,0,4.0804558718035,0,1,1,sigmoid colon organoid
100133669,LY6E-DT,lncRNA,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,0.226159639246262,0,4.0804558718035,0,1,1,sigmoid colon organoid
