entrezID,gene_symbol,biotype,bioproject,res_design,host_type,stimulator,concentration,H.P.S,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type
107985614,TRNAV-CAC,tRNA,PRJNA474093,IFN-beta stimulation vs. mock stimulation,immortalized human hepatocytes PH5CH8,IFN-beta,N.A.,12,0.642237881469124,0.129684827971639,2.43662586746697,0.0532231187820618,0.957554135594063,0.994998021163286,NA
107985615,TRNAV-CAC,tRNA,PRJNA474093,IFN-beta stimulation vs. mock stimulation,immortalized human hepatocytes PH5CH8,IFN-beta,N.A.,12,0.642237881469124,0.129684827971639,2.43662586746697,0.0532231187820618,0.957554135594063,0.994998021163286,NA
107985753,TRNAV-CAC,tRNA,PRJNA474093,IFN-beta stimulation vs. mock stimulation,immortalized human hepatocytes PH5CH8,IFN-beta,N.A.,12,0.642237881469124,0.129684827971639,2.43662586746697,0.0532231187820618,0.957554135594063,0.994998021163286,NA
107985614,TRNAV-CAC,tRNA,PRJNA565586,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,100U/ml,24,3.29855029917181,2.46584802183746,1.21680278766742,2.02649767639374,0.0427138106001829,0.23918135592092,patient-derived GBM cell lines (PDGCLs)
107985615,TRNAV-CAC,tRNA,PRJNA565586,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,100U/ml,24,3.29855029917181,2.46584802183746,1.21680278766742,2.02649767639374,0.0427138106001829,0.23918135592092,patient-derived GBM cell lines (PDGCLs)
107985753,TRNAV-CAC,tRNA,PRJNA565586,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,100U/ml,24,3.29855029917181,2.46584802183746,1.21680278766742,2.02649767639374,0.0427138106001829,0.23918135592092,patient-derived GBM cell lines (PDGCLs)
107985614,TRNAV-CAC,tRNA,PRJNA667475,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,250U/ml,8,0.331225713536547,1.83485510886071,3.9550701896464,0.463924790428246,0.64270163087149,0.933906632050025,A549
107985615,TRNAV-CAC,tRNA,PRJNA667475,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,250U/ml,8,0.331225713536547,1.83485510886071,3.9550701896464,0.463924790428246,0.64270163087149,0.933906632050025,A549
107985753,TRNAV-CAC,tRNA,PRJNA667475,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,250U/ml,8,0.331225713536547,1.83485510886071,3.9550701896464,0.463924790428246,0.64270163087149,0.933906632050025,A549
107985614,TRNAV-CAC,tRNA,PRJNA739760,INF-alpha2 stimulation (with DMSO) vs. mock stimulation (with DMSO),NA,IFN-alpha,1000U/ml,16,0.146352485095051,-0.682822182610167,4.0804728567969,-0.167338984126014,0.867103331676096,0.986418245486816,A549
107985615,TRNAV-CAC,tRNA,PRJNA739760,INF-alpha2 stimulation (with DMSO) vs. mock stimulation (with DMSO),NA,IFN-alpha,1000U/ml,16,0.146352485095051,-0.682822182610167,4.0804728567969,-0.167338984126014,0.867103331676096,0.986418245486816,A549
107985753,TRNAV-CAC,tRNA,PRJNA739760,INF-alpha2 stimulation (with DMSO) vs. mock stimulation (with DMSO),NA,IFN-alpha,1000U/ml,16,0.146352485095051,-0.682822182610167,4.0804728567969,-0.167338984126014,0.867103331676096,0.986418245486816,A549
107985614,TRNAV-CAC,tRNA,PRJNA768480,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,N.A.,N.A.,0,NA,NA,NA,NA,NA,A549
107985615,TRNAV-CAC,tRNA,PRJNA768480,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,N.A.,N.A.,0,NA,NA,NA,NA,NA,A549
107985753,TRNAV-CAC,tRNA,PRJNA768480,IFN-gamma stimulation vs. mock stimulation,NA,IFN-gamma,N.A.,N.A.,0,NA,NA,NA,NA,NA,A549
107985614,TRNAV-CAC,tRNA,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,0.105207084068752,-0.884946625012763,4.08045587181216,-0.216874450505882,0.82830618927682,1,sigmoid colon organoid
107985615,TRNAV-CAC,tRNA,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,0.105207084068752,-0.884946625012763,4.08045587181216,-0.216874450505882,0.82830618927682,1,sigmoid colon organoid
107985753,TRNAV-CAC,tRNA,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,0.105207084068752,-0.884946625012763,4.08045587181216,-0.216874450505882,0.82830618927682,1,sigmoid colon organoid
107985614,TRNAV-CAC,tRNA,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,0.105207084068752,-0.930486410416868,4.08045587181216,-0.228034915619277,0.819619096768612,1,sigmoid colon organoid
107985615,TRNAV-CAC,tRNA,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,0.105207084068752,-0.930486410416868,4.08045587181216,-0.228034915619277,0.819619096768612,1,sigmoid colon organoid
107985753,TRNAV-CAC,tRNA,PRJNA788896,IFN-beta stimulation vs. mock stimulation,NA,IFN-beta,N.A.,N.A.,0.105207084068752,-0.930486410416868,4.08045587181216,-0.228034915619277,0.819619096768612,1,sigmoid colon organoid
